Time,Time Code,Country Name,Country Code,A woman can travel outside her home in the same way as a man (1=yes; 0=no) [SG.HME.TRVL.EQ],A woman can travel outside the country in the same way as a man (1=yes; 0=no) [SG.CTR.TRVL.EQ],Women participating in own health care decisions (% of women age 15-49) [SG.DMK.HLTH.FN.ZS],Women participating in making major household purchase decisions (% of women age 15-49) [SG.DMK.PRCH.FN.ZS],Women participating in making daily purchase decisions (% of women age 15-49) [SG.DMK.DPCH.FN.ZS],"Women participating in decision of visits to family, relatives, friends (% of women age 15-49) [SG.DMK.VISI.FN.ZS]","Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49) [SG.DMK.SRCR.FN.ZS]",Firms with female top manager (% of firms) [IC.FRM.FEMM.ZS],Female share of employment in senior and middle management (%) [SL.EMP.SMGT.FE.ZS],Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],Proportion of women in ministerial level positions (%) [SG.GEN.MNST.ZS],"Prevalence of overweight, female (% of female adults) [SH.STA.OWAD.FE.ZS]","Prevalence of overweight, male (% of male adults) [SH.STA.OWAD.MA.ZS]",Women's share of population ages 15+ living with HIV (%) [SH.DYN.AIDS.FE.ZS],"Account, female (% age 15+) [account.t.d.1]","Account, male (% age 15+) [account.t.d.2]",Has access to the Internet (% age 15+) [Internet],Men who own a house alone (% of men) [SG.OWN.HSAL.MA.ZS],"Paid school fees, female (% age 15+) [fin33.2014.d.1]","Paid school fees, male (% age 15+) [fin33.2014.d.2]","Saved for old age, female (% age 15+) [fin16.t.d.1]","Saved for old age, male (% age 15+) [fin16.t.d.2]",Women who do not own a house (% of women age 15-49) [SG.OWN.HSNO.FE.ZS],Women who own a house alone (% of women age 15-49) [SG.OWN.HSAL.FE.ZS],Proportion of women who have ever experienced any form of sexual violence (% of women ages 15-49) [SG.VAW.AFSX.ZS],Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant) [SP.MTR.1519.ZS],Women who were first married by age 18 (% of women ages 20-24) [SP.M18.2024.FE.ZS],Women whose husband or partner has ever demonstrated controlling behaviors (% of ever-married women ages 15-49) [SG.VAW.IPCB.ZS]
1975,YR1975,Japan,JPN,1,1,..,..,..,..,..,..,..,..,..,15.2,14.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,"Korea, Rep.",KOR,1,1,..,..,..,..,..,..,..,..,..,12,11.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Latvia,LVA,1,1,..,..,..,..,..,..,..,..,..,47.3,38.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Lithuania,LTU,1,1,..,..,..,..,..,..,..,..,..,45.1,37.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Luxembourg,LUX,1,1,..,..,..,..,..,..,..,..,..,34.3,40.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Mexico,MEX,1,1,..,..,..,..,..,..,..,..,..,41.9,32.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Netherlands,NLD,1,1,..,..,..,..,..,..,..,..,..,30,36,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,New Zealand,NZL,1,1,..,..,..,..,..,..,..,..,..,38.3,45.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Norway,NOR,1,1,..,..,..,..,..,..,..,..,..,33.2,38.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Poland,POL,1,1,..,..,..,..,..,..,..,..,..,39,41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Portugal,PRT,0,1,..,..,..,..,..,..,..,..,..,27.6,34.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Slovak Republic,SVK,1,1,..,..,..,..,..,..,..,..,..,33.8,38.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Slovenia,SVN,1,1,..,..,..,..,..,..,..,..,..,33.7,36.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Spain,ESP,0,1,..,..,..,..,..,..,..,..,..,37.6,44.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Sweden,SWE,1,1,..,..,..,..,..,..,..,..,..,35.2,39.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Switzerland,CHE,1,1,..,..,..,..,..,..,..,..,..,26.6,34.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,Turkiye,TUR,1,1,..,..,..,..,..,..,..,..,..,38.1,30.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,United Kingdom,GBR,0,1,..,..,..,..,..,..,..,..,..,36.5,43.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1975,YR1975,United States,USA,1,1,..,..,..,..,..,..,..,..,..,36.6,45.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1976,YR1976,Australia,AUS,0,1,..,..,..,..,..,..,..,..,..,37.4,47.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
1976,YR1976,Austria,AUT,1,1,..,..,..,..,..,..,..,..,..,31.4,39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
