Time,Time Code,Country Name,Country Code,Female headed households (% of households with a female head) [SP.HOU.FEMA.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at age 60, female (years) [SP.DYN.LE60.FE.IN]","Life expectancy at age 60, male (years) [SP.DYN.LE60.MA.IN]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Population ages 0-14, female [SP.POP.0014.FE.IN]","Population ages 0-14, male [SP.POP.0014.MA.IN]","Population ages 15-19, male [SP.POP.1519.MA]","Population ages 15-19, female [SP.POP.1519.FE]","Population ages 20-24, female [SP.POP.2024.FE]","Population ages 20-24, male [SP.POP.2024.MA]","Population ages 25-29, female [SP.POP.2529.FE]","Population ages 25-29, male [SP.POP.2529.MA]","Population ages 30-34, female [SP.POP.3034.FE]","Population ages 30-34, male [SP.POP.3034.MA]","Population ages 35-39, female [SP.POP.3539.FE]","Population ages 35-39, male [SP.POP.3539.MA]","Population ages 40-44, female [SP.POP.4044.FE]","Population ages 40-44, male [SP.POP.4044.MA]","Population ages 45-49, female [SP.POP.4549.FE]","Population ages 45-49, male [SP.POP.4549.MA]","Population ages 50-54, female [SP.POP.5054.FE]","Population ages 50-54, male [SP.POP.5054.MA]","Population ages 55-59, female [SP.POP.5559.FE]","Population ages 55-59, male [SP.POP.5559.MA]","Population ages 60-64, female [SP.POP.6064.FE]","Population ages 60-64, male [SP.POP.6064.MA]",Population ages 65 and above (% of total) [SP.POP.65UP.TO.ZS],"Population ages 65 and above, female [SP.POP.65UP.FE.IN]","Population ages 65 and above, male [SP.POP.65UP.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, male [SP.POP.TOTL.MA.IN]","Population, total [SP.POP.TOTL]",Rural population (% of total population) [SP.RUR.TOTL.ZS],"Rural population, female (% of total) [SP.RUR.TOTL.FE.ZS]","Rural population, male (% of total) [SP.RUR.TOTL.MA.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Urban population, female (% of total) [SP.URB.TOTL.FE.ZS]","Urban population, male (% of total) [SP.URB.TOTL.MA.ZS]"
1973,YR1973,Mexico,MEX,..,6.177,..,..,64.698,59.571,12826009,13042560,2965202,2944146,2365464,2416073,1887563,1896943,1551499,1548123,1282674,1258402,1115188,1038333,925455,886010,718253,704202,571759,550178,481968,451945,3.25966336438649,939989,860265,27609964,27618239,55228203,38.721,..,..,61.279,..,..
1973,YR1973,Netherlands,NLD,..,1.9,..,..,77.13,71.3,1733194,1815154,581882,556720,553364,579758,543030,580396,414691,452095,378326,404756,382071,391280,376642,365802,364948,346541,324685,300493,310366,271758,10.5017928703181,803693,607677,6741730,6697592,13439322,37.45,..,..,62.55,..,..
1973,YR1973,New Zealand,NZL,..,2.696,..,..,75.1,68.4,449291,468023,141667,135671,118585,123304,106681,108475,90880,93341,76085,78151,76996,80797,76888,80952,74702,73528,67244,63451,61441,57605,8.69689643626633,148219,109322,1482684,1478616,2961300,17.859,..,..,82.141,..,..
1973,YR1973,Norway,NOR,..,2.23,..,..,77.71,71.33,465915,490934,157237,150758,145773,155409,148455,159264,109395,114369,95559,98296,102748,105486,114869,117032,127858,125920,119278,114499,111542,103413,13.2959890140895,299696,226907,1991847,1968765,3960612,32.784,..,..,67.216,..,..
1973,YR1973,Poland,POL,..,2.26,..,..,74.3,67.2,4024667,4227449,1786414,1714893,1607895,1658602,1166584,1185604,991477,995314,1093236,1085508,1166347,1149738,1125060,981562,898301,761328,668989,539699,837624,676463,9.03685972908603,1834079,1180365,17129152,16228047,33357200,46.023,..,..,53.977,..,..
1973,YR1973,Portugal,PRT,..,2.77,..,..,70.7,64.5,1180223,1224609,363545,366563,341621,317520,292759,261792,265801,236027,284285,253313,286540,258901,276540,246739,246070,220941,222490,195197,223413,187436,10.202294942152,532536,348238,4518842,4114258,8633100,60.015,..,..,39.985,..,..
1973,YR1973,Slovak Republic,SVK,..,2.56,..,..,73.407,66.797,594814,623769,232713,223480,208916,217775,162348,162580,144121,140293,135909,131154,147415,142373,147278,140002,132828,123420,84776,78325,115430,104708,9.63105188762735,255924,191096,2353238,2288208,4641445,55.878,..,..,44.122,..,..
1973,YR1973,Slovenia,SVN,..,2.204,..,..,73.4,65.6,206488,212482,76235,73770,76054,81732,60242,65503,62185,66499,61313,63953,65188,63521,62394,48841,50279,35772,35524,27094,48846,37835,10.4685328963381,113392,71555,915674,851023,1766697,59.847,..,..,40.153,..,..
1973,YR1973,Spain,ESP,..,2.84,..,..,75.52,69.84,4723573,4951513,1416098,1380844,1274986,1311892,1210062,1215977,1006550,991211,1143675,1109181,1207860,1178717,1122715,1081034,1004872,930537,880800,743882,851306,708032,10.1278473342417,2089937,1453690,17897180,17091766,34988947,31.776,..,..,68.224,..,..
1973,YR1973,Sweden,SWE,..,1.87,..,..,77.71,72.16,821362,865853,276450,263817,293326,305293,330373,353272,259665,279668,220835,231114,225389,227794,243950,244496,267433,267043,248807,244605,248075,238403,14.4941450766118,657700,521589,4080732,4055580,8136312,17.797,..,..,82.203,..,..
1973,YR1973,Switzerland,CHE,..,1.81,..,..,77.05,70.98,714262,748127,230338,229292,241201,236653,257865,263390,228862,237749,207166,213926,200242,197806,192907,182392,178531,169292,157412,146546,169711,145920,12.0138904358027,451160,306598,3228610,3078737,6307347,25.9,..,..,74.1,..,..
1973,YR1973,Turkiye,TUR,..,5.362,..,..,61.972,55.631,7719033,8335439,2001543,1942980,1584314,1635903,1272104,1323091,1104850,1130656,978226,993002,853773,870538,720349,744614,587088,606019,494793,500204,411664,411255,4.75121032762063,963499,843303,18632671,19395566,38028236,59.742,..,..,40.258,..,..
1973,YR1973,United Kingdom,GBR,..,2.04,..,..,75.5,69.3,6563197,6892914,2041173,1935184,1953556,1997914,2034434,2073552,1647475,1689821,1588278,1632964,1625165,1621992,1705789,1681407,1816194,1732497,1613187,1484409,1709562,1502554,13.6157520365362,4698493,2952814,28890515,27304012,56194527,22.642,..,..,77.358,..,..
1973,YR1973,United States,USA,..,1.879,..,..,75.3,67.6,27474153,28586770,10426350,10144239,8989659,8839613,8060009,7686339,6647523,6448900,5803194,5709962,5889255,6483968,6126926,5889413,6161743,5749199,5254815,4730337,5044323,4334490,10.1118024809082,12633370,8794449,108229211,103679790,211909000,26.367,..,..,73.633,..,..
1974,YR1974,Australia,AUS,..,2.397,..,..,75.76,68.88,1862353,1957515,617498,594364,569318,585801,548408,576769,440036,470231,390717,412436,370380,396455,389589,414494,372546,379802,316615,306830,291901,272509,8.64554800919904,689579,496850,6835807,6887192,13723000,15.364,..,..,84.636,..,..
