Time,Country Code,Value,Women's share of population ages 15+ living with HIV (%) ,"Employers, female (% of female employment) (modeled ILO estimate) ","Self-employed, male (% of male employment) (modeled ILO estimate) ","Self-employed, total (% of total employment) (modeled ILO estimate) ","Labor force with intermediate education, female (% of female working-age population with intermediate education) ",Agricultural land (% of land area),"Government expenditure on education, total (% of GDP) ","Female share of graduates in Arts and Humanities programmes, tertiary (%) ","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) ",Adjusted savings: natural resources depletion (% of GNI),Scientific and technical journal articles,Female share of employment in senior and middle management (%) 
2008,POL,12.0,25.7,2.72000002861023,24.9400005340576,22.9200000762939,53.2000007629395,50.9337251061051,5.04239988327026,76.74014,63.85,0.445552171439196,23784.03,36.2000007629395
2009,POL,61.0,25.4,2.6800000667572,24.8899993896484,22.7399997711182,52.75,50.9958208175526,4.98976993560791,76.05081,64.68,0.296050980474294,23693.13,36.0
2010,POL,61.0,25.1,2.72000002861023,25.3199996948242,22.9799995422363,52.6300010681152,47.1757868616952,5.0630202293396,76.12614,65.58,1.19079083183441,24675.84,37.5
2010,POL,7.0,25.1,2.72000002861023,25.3199996948242,22.9799995422363,52.6300010681152,47.1757868616952,5.0630202293396,76.12614,65.58,1.19079083183441,24675.84,37.5
2011,POL,61.0,24.7,2.88000011444092,25.3099994659424,22.8700008392334,52.0900001525879,48.2611109296934,4.82496976852417,76.20649,65.98,1.61743994539105,25560.97,35.9000015258789
2012,POL,61.0,24.3,2.85999989509583,24.9799995422363,22.3899993896484,51.75,47.4462804519626,4.82954978942871,75.95283,66.71,0.443193940202461,27660.19,35.0
2012,POL,10.0,24.3,2.85999989509583,24.9799995422363,22.3899993896484,51.75,47.4462804519626,4.82954978942871,75.95283,66.71,0.443193940202461,27660.19,35.0
2013,POL,60.0,23.7,2.84999990463257,24.5499992370605,21.8299999237061,50.939998626709,47.059207733255,4.97062015533447,75.70975,67.21,0.340743490926348,29438.53,35.5
2014,POL,58.0,23.1,2.77999997138977,24.2700004577637,21.3500003814697,50.5400009155273,47.1080048336001,4.93554019927979,75.73776,68.08,0.26892380970956,30848.34,36.4000015258789
2014,POL,11.0,23.1,2.77999997138977,24.2700004577637,21.3500003814697,50.5400009155273,47.1080048336001,4.93554019927979,75.73776,68.08,0.26892380970956,30848.34,36.4000015258789
2015,POL,57.0,22.5,2.58999991416931,24.1499996185303,21.2299995422363,49.5400009155273,46.9349096965936,4.80993986129761,75.73683,68.38,0.202021645110496,32470.81,37.4000015258789
2016,POL,53.0,22.0,2.55999994277954,23.8600006103516,20.7199993133545,48.9500007629395,46.9447075345374,4.63339996337891,75.56883,69.1,0.17697469747851,33912.65,38.0999984741211
2016,POL,9.0,22.0,2.55999994277954,23.8600006103516,20.7199993133545,48.9500007629395,46.9447075345374,4.63339996337891,75.56883,69.1,0.17697469747851,33912.65,38.0999984741211
